"","year","prov","sector","scenario","emissions"
"1",2005,"AB","Electricity","2022 Additional Measures Scenario",0
"2",2005,"AB","Electricity","2022 Reference Case",0
"3",2005,"AB","Electricity","NIR 2022",47.7
"4",2005,"BC","Electricity","2022 Additional Measures Scenario",0
"5",2005,"BC","Electricity","2022 Reference Case",0
"6",2005,"BC","Electricity","NIR 2022",1
"7",2005,"Canada","Electricity","2022 Additional Measures Scenario",0
"8",2005,"Canada","Electricity","2022 Reference Case",0
"9",2005,"Canada","Electricity","NIR 2022",117.5
"10",2005,"MB","Electricity","2022 Additional Measures Scenario",0
"11",2005,"MB","Electricity","2022 Reference Case",0
"12",2005,"MB","Electricity","NIR 2022",0.4
"13",2005,"ATL","Electricity","2022 Additional Measures Scenario",0
"14",2005,"ATL","Electricity","2022 Reference Case",0
"15",2005,"ATL","Electricity","NIR 2022",19.4
"16",2005,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"17",2005,"Northwest Territories","Electricity","2022 Reference Case",0
"18",2005,"Northwest Territories","Electricity","NIR 2022",0
"19",2005,"ON","Electricity","2022 Additional Measures Scenario",0
"20",2005,"ON","Electricity","2022 Reference Case",0
"21",2005,"ON","Electricity","NIR 2022",33.9
"22",2005,"QC","Electricity","2022 Additional Measures Scenario",0
"23",2005,"QC","Electricity","2022 Reference Case",0
"24",2005,"QC","Electricity","NIR 2022",0.6
"25",2005,"SK","Electricity","2022 Additional Measures Scenario",0
"26",2005,"SK","Electricity","2022 Reference Case",0
"27",2005,"SK","Electricity","NIR 2022",14.3
"28",2006,"AB","Electricity","2022 Additional Measures Scenario",0
"29",2006,"AB","Electricity","2022 Reference Case",0
"30",2006,"AB","Electricity","NIR 2022",47.9
"31",2006,"BC","Electricity","2022 Additional Measures Scenario",0
"32",2006,"BC","Electricity","2022 Reference Case",0
"33",2006,"BC","Electricity","NIR 2022",1.1
"34",2006,"Canada","Electricity","2022 Additional Measures Scenario",0
"35",2006,"Canada","Electricity","2022 Reference Case",0
"36",2006,"Canada","Electricity","NIR 2022",111.6
"37",2006,"MB","Electricity","2022 Additional Measures Scenario",0
"38",2006,"MB","Electricity","2022 Reference Case",0
"39",2006,"MB","Electricity","NIR 2022",0.4
"40",2006,"ATL","Electricity","2022 Additional Measures Scenario",0
"41",2006,"ATL","Electricity","2022 Reference Case",0
"42",2006,"ATL","Electricity","NIR 2022",18.1
"43",2006,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"44",2006,"Northwest Territories","Electricity","2022 Reference Case",0
"45",2006,"Northwest Territories","Electricity","NIR 2022",0
"46",2006,"ON","Electricity","2022 Additional Measures Scenario",0
"47",2006,"ON","Electricity","2022 Reference Case",0
"48",2006,"ON","Electricity","NIR 2022",29.5
"49",2006,"QC","Electricity","2022 Additional Measures Scenario",0
"50",2006,"QC","Electricity","2022 Reference Case",0
"51",2006,"QC","Electricity","NIR 2022",0.5
"52",2006,"SK","Electricity","2022 Additional Measures Scenario",0
"53",2006,"SK","Electricity","2022 Reference Case",0
"54",2006,"SK","Electricity","NIR 2022",13.8
"55",2007,"AB","Electricity","2022 Additional Measures Scenario",0
"56",2007,"AB","Electricity","2022 Reference Case",0
"57",2007,"AB","Electricity","NIR 2022",48.5
"58",2007,"BC","Electricity","2022 Additional Measures Scenario",0
"59",2007,"BC","Electricity","2022 Reference Case",0
"60",2007,"BC","Electricity","NIR 2022",0.9
"61",2007,"Canada","Electricity","2022 Additional Measures Scenario",0
"62",2007,"Canada","Electricity","2022 Reference Case",0
"63",2007,"Canada","Electricity","NIR 2022",119.6
"64",2007,"MB","Electricity","2022 Additional Measures Scenario",0
"65",2007,"MB","Electricity","2022 Reference Case",0
"66",2007,"MB","Electricity","NIR 2022",0.5
"67",2007,"ATL","Electricity","2022 Additional Measures Scenario",0
"68",2007,"ATL","Electricity","2022 Reference Case",0
"69",2007,"ATL","Electricity","NIR 2022",19.9
"70",2007,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"71",2007,"Northwest Territories","Electricity","2022 Reference Case",0
"72",2007,"Northwest Territories","Electricity","NIR 2022",0
"73",2007,"ON","Electricity","2022 Additional Measures Scenario",0
"74",2007,"ON","Electricity","2022 Reference Case",0
"75",2007,"ON","Electricity","NIR 2022",32.7
"76",2007,"QC","Electricity","2022 Additional Measures Scenario",0
"77",2007,"QC","Electricity","2022 Reference Case",0
"78",2007,"QC","Electricity","NIR 2022",2.5
"79",2007,"SK","Electricity","2022 Additional Measures Scenario",0
"80",2007,"SK","Electricity","2022 Reference Case",0
"81",2007,"SK","Electricity","NIR 2022",14.4
"82",2008,"AB","Electricity","2022 Additional Measures Scenario",0
"83",2008,"AB","Electricity","2022 Reference Case",0
"84",2008,"AB","Electricity","NIR 2022",48.3
"85",2008,"BC","Electricity","2022 Additional Measures Scenario",0
"86",2008,"BC","Electricity","2022 Reference Case",0
"87",2008,"BC","Electricity","NIR 2022",1.2
"88",2008,"Canada","Electricity","2022 Additional Measures Scenario",0
"89",2008,"Canada","Electricity","2022 Reference Case",0
"90",2008,"Canada","Electricity","NIR 2022",108.8
"91",2008,"MB","Electricity","2022 Additional Measures Scenario",0
"92",2008,"MB","Electricity","2022 Reference Case",0
"93",2008,"MB","Electricity","NIR 2022",0.4
"94",2008,"ATL","Electricity","2022 Additional Measures Scenario",0
"95",2008,"ATL","Electricity","2022 Reference Case",0
"96",2008,"ATL","Electricity","NIR 2022",17.1
"97",2008,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"98",2008,"Northwest Territories","Electricity","2022 Reference Case",0
"99",2008,"Northwest Territories","Electricity","NIR 2022",0
"100",2008,"ON","Electricity","2022 Additional Measures Scenario",0
"101",2008,"ON","Electricity","2022 Reference Case",0
"102",2008,"ON","Electricity","NIR 2022",27
"103",2008,"QC","Electricity","2022 Additional Measures Scenario",0
"104",2008,"QC","Electricity","2022 Reference Case",0
"105",2008,"QC","Electricity","NIR 2022",0.5
"106",2008,"SK","Electricity","2022 Additional Measures Scenario",0
"107",2008,"SK","Electricity","2022 Reference Case",0
"108",2008,"SK","Electricity","NIR 2022",14.1
"109",2009,"AB","Electricity","2022 Additional Measures Scenario",0
"110",2009,"AB","Electricity","2022 Reference Case",0
"111",2009,"AB","Electricity","NIR 2022",45.3
"112",2009,"BC","Electricity","2022 Additional Measures Scenario",0
"113",2009,"BC","Electricity","2022 Reference Case",0
"114",2009,"BC","Electricity","NIR 2022",1.1
"115",2009,"Canada","Electricity","2022 Additional Measures Scenario",0
"116",2009,"Canada","Electricity","2022 Reference Case",0
"117",2009,"Canada","Electricity","NIR 2022",93.7
"118",2009,"MB","Electricity","2022 Additional Measures Scenario",0
"119",2009,"MB","Electricity","2022 Reference Case",0
"120",2009,"MB","Electricity","NIR 2022",0.2
"121",2009,"ATL","Electricity","2022 Additional Measures Scenario",0
"122",2009,"ATL","Electricity","2022 Reference Case",0
"123",2009,"ATL","Electricity","NIR 2022",16.9
"124",2009,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
"125",2009,"Northwest Territories","Electricity","2022 Reference Case",0
"126",2009,"Northwest Territories","Electricity","NIR 2022",0
"127",2009,"ON","Electricity","2022 Additional Measures Scenario",0
"128",2009,"ON","Electricity","2022 Reference Case",0
"129",2009,"ON","Electricity","NIR 2022",14.4
"130",2009,"QC","Electricity","2022 Additional Measures Scenario",0
"131",2009,"QC","Electricity","2022 Reference Case",0
"132",2009,"QC","Electricity","NIR 2022",0.7
"133",2009,"SK","Electricity","2022 Additional Measures Scenario",0
"134",2009,"SK","Electricity","2022 Reference Case",0
"135",2009,"SK","Electricity","NIR 2022",15
"136",2010,"AB","Electricity","2022 Additional Measures Scenario",0
"137",2010,"AB","Electricity","2022 Reference Case",0
"138",2010,"AB","Electricity","NIR 2022",44.7
"139",2010,"BC","Electricity","2022 Additional Measures Scenario",0
"140",2010,"BC","Electricity","2022 Reference Case",0
"141",2010,"BC","Electricity","NIR 2022",1
"142",2010,"Canada","Electricity","2022 Additional Measures Scenario",0
"143",2010,"Canada","Electricity","2022 Reference Case",0
"144",2010,"Canada","Electricity","NIR 2022",94.6
"145",2010,"MB","Electricity","2022 Additional Measures Scenario",0
"146",2010,"MB","Electricity","2022 Reference Case",0
"147",2010,"MB","Electricity","NIR 2022",0.1
